Card                            Price StdDev Average  High    Low   Change Raw N
----                            ----- ------ ------- ------- ------ ------ -----
Acolyte of Xathrid,              0.60,  0.30,   0.60,   0.99,   0.25, -0.00,   3
Acorn Harvest,                   0.31,  0.07,   0.31,   0.38,   0.25,  0.00,   2
Acquire,                         0.50,  0.52,   0.67,   1.95,   0.25,  0.00,   9
Acridian,                        0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Act of Treason,                  0.34,  0.13,   0.34,   0.56,   0.25,  0.00,   9
Active Volcano (CH),             0.14,  0.13,   0.14,   0.31,   0.01,  0.00,   6
Active Volcano (LE),             0.08,  0.06,   0.08,   0.14,   0.01, -0.00,   2
Ad Nauseam,                      0.64,  0.43,   0.64,   1.50,   0.01,  0.00,  63
Adamaro, First to Desire,        0.67,  0.83,   1.12,   2.50,   0.33,  0.11,   4
Adarkar Sentinel,                0.07,  0.10,   0.07,   0.25,   0.01,  0.00,   4
Adarkar Unicorn,                 0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Adarkar Valkyrie,                3.55,  0.92,   3.63,   5.45,   1.62,  0.00,  22
Adarkar Wastes (10th),           2.13,  1.28,   2.46,   5.58,   0.51,  0.01,  49
Adarkar Wastes (5th),            3.72,  1.48,   3.06,   4.45,   0.41, -0.00,   5
Adarkar Wastes (6th),            4.43,  1.44,   3.74,   4.93,   0.99, -0.00,   5
Adarkar Wastes (7th),            4.01,  1.51,   3.57,   5.00,   0.96, -0.00,   7
Adarkar Wastes (9th),            1.82,  1.81,   2.72,   5.92,   0.25, -0.00,  17
Adarkar Wastes (IA),             1.23,  2.10,   1.95,   7.82,   0.01,  0.05,  15
Adarkar Windform,                0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Adder-Staff Boggart,             0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Addle,                           0.38,  0.12,   0.38,   0.50,   0.25, -0.00,   2
Adun Oakenshield (LE),           4.37,  2.12,   4.37,   6.49,   2.25,  0.00,   2
Advance Scout,                   0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Advanced Hoverguard,             0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Adventurers' Guildhouse,         0.84,  0.16,   0.84,   1.00,   0.68,  0.00,   2
Adventuring Gear,                0.20,  0.16,   0.20,   0.56,   0.01,  0.00,  11
Advice from the Fae,             0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   3
Aegis of Honor,                  0.84,  0.57,   0.96,   2.20,   0.31, -0.00,  11
Aegis of the Meek,               0.31,  0.36,   0.31,   1.00,   0.01,  0.00,   6
Aeolipile,                       0.78,  0.30,   0.78,   0.99,   0.36,  0.00,   3
Aeon Chronicler,                 0.51,  0.46,   0.60,   2.00,   0.25,  0.00,  18
Aerial Caravan,                  0.44,  0.00,   0.44,   0.44,   0.44,  0.00,   1
Aerie Mystics,                   0.53,  0.04,   0.53,   0.57,   0.50,  0.00,   2
Aerie Ouphes,                    0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Aesthetic Consultation,          0.78,  0.22,   0.78,   1.00,   0.57,  0.00,   2
Aesthir Glider,                  0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   2
Afflict,                         0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Afflict (OD),                    0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Afiya Grove,                     0.09,  0.14,   0.09,   0.33,   0.01,  0.00,   4
Afterlife (MI),                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Afterlife (MM),                  0.88,  0.62,   0.88,   1.50,   0.25, -0.00,   2
Aftershock,                      0.62,  0.37,   0.62,   0.99,   0.25,  0.00,   2
Ageless Entity,                  1.06,  0.71,   1.06,   1.93,   0.12,  0.00,   9
Ageless Sentinels,               0.83,  0.24,   0.83,   1.00,   0.50,  0.00,   3
Agent of Masks,                  0.26,  0.02,   0.26,   0.28,   0.25,  0.00,   2
Agent of Shauku,                 0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Agent of Stromgald,              0.26,  0.00,   0.26,   0.26,   0.25, -0.00,   3
Aggravated Assault,              0.68,  0.34,   0.68,   1.00,   0.01,  0.00,   7
Aggressive Urge (10th),          0.27,  0.00,   0.27,   0.27,   0.27,  0.00,   1
Aggressive Urge (IN),            0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Agility,                         0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Agonizing Demise,                0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Agonizing Memories (10th),       0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Agonizing Memories (6th),        0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Agonizing Memories (7th),        0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Agonizing Memories (WL),         0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Agony Warp,                      0.26,  0.08,   0.26,   0.38,   0.12, -0.00,   6
Agrus Kos, Wojek Veteran,        0.57,  0.27,   0.57,   1.00,   0.25,  0.00,   4
Air Bladder,                     0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Air Elemental (10th),            0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Air Elemental (9th),             0.38,  0.00,   0.38,   0.38,   0.38,  0.00,   1
Air Elemental (A),               3.49,  1.50,   3.49,   4.99,   1.99, -0.00,   2
Air Elemental (B),               4.50,  0.00,   4.50,   4.50,   4.50,  0.94,   1
Air Elemental (M10),             0.80,  2.08,   1.68,   6.29,   0.25, -0.00,  11
Air Elemental (RV),              0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Air Elemental (ST1),             0.49,  0.00,   0.49,   0.49,   0.49,  0.00,   1
Air Elemental (U),               0.25,  0.01,   0.25,   0.28,   0.25,  0.00,   6
Airborne Aid,                    0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Airdrop Condor,                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Ajani Goldmane (LRW),            6.37,  2.35,   6.46,   8.50,   0.25,  0.00,  56
Ajani Goldmane (M10),            6.27,  1.60,   6.51,  11.75,   0.25, -0.03, 341
Ajani Vengeant,                  5.82,  1.71,   5.56,  10.92,   0.25,  0.03, 101
Akki Avalanchers,                0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Akki Blizzard-Herder,            0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Akki Coalflinger,                0.22,  0.03,   0.22,   0.25,   0.19,  0.00,   2
Akki Drillmaster,                0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Akki Lavarunner,                 0.44,  0.33,   0.44,   1.00,   0.15,  0.00,   4
Akki Raider,                     0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Akki Rockspeaker,                0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Akki Underling,                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Akki Underminer,                 0.22,  0.03,   0.22,   0.25,   0.19,  0.00,   2
Akoum Refuge,                    0.31,  0.16,   0.31,   1.02,   0.03, -0.00,  60
Akrasan Squire,                  0.28,  0.05,   0.28,   0.38,   0.25,  0.00,   6
Akroma's Blessing,               0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Akroma's Devoted,                0.50,  0.00,   0.50,   0.50,   0.50,  0.00,   1
Akroma's Memorial,               4.62,  1.14,   4.74,   7.45,   3.00,  0.03,  25
Akroma's Vengeance,              1.33,  1.21,   1.47,   3.99,   0.08,  0.02,  19
Akroma, Angel of Fury,           3.11,  0.96,   3.01,   4.95,   0.99,  0.18,  45
Akroma, Angel of Wrath (LGN),    5.62,  4.05,   6.83,  21.01,   2.09, -0.00,  26
Akroma, Angel of Wrath (TSB),    5.08,  2.84,   5.71,  14.99,   0.99, -0.04,  45
Akron Legionnaire (5th),         0.49,  0.01,   0.49,   0.50,   0.48, -0.00,   3
Akron Legionnaire (CH),          0.27,  0.00,   0.27,   0.27,   0.27,  0.00,   1
Akron Legionnaire (LE),          2.26,  0.00,   2.26,   2.26,   2.26,  0.00,   1
Aku Djinn,                       0.53,  0.03,   0.53,   0.56,   0.50,  0.00,   2
Akuta, Born of Ash,              0.49,  0.33,   0.49,   0.99,   0.15, -0.00,   4
Al-abara's Carpet,               5.39,  1.39,   5.39,   6.74,   3.60,  0.00,   4
Alabaster Dragon (PT),           3.38,  0.00,   3.38,   3.38,   3.38,  0.00,   1
Alabaster Dragon (WL),           1.92,  0.48,   1.92,   2.71,   1.09, -0.00,   9
Alabaster Leech,                 0.67,  0.32,   0.67,   0.99,   0.34, -0.00,   2
Alabaster Potion (4th),          0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Alabaster Potion (5th),          0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Alabaster Potion (LE),           1.00,  0.00,   1.00,   1.00,   1.00,  0.00,   1
Alabaster Wall,                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Alaborn Cavalier,                0.77,  0.22,   0.77,   0.99,   0.56,  0.00,   4
Alaborn Grenadier,               0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Alaborn Veteran,                 1.17,  0.17,   1.17,   1.34,   1.00,  0.00,   2
Alaborn Zealot,                  0.93,  0.08,   0.93,   1.00,   0.85, -0.19,   2
Aladdin (AN),                    4.59,  0.80,   4.59,   5.39,   3.80,  0.00,   2
Aladdin (CH),                    0.65,  2.72,   1.85,   7.83,   0.26,  0.00,   6
Aladdin's Lamp (4th),            0.46,  1.80,   1.22,   5.58,   0.01, -0.00,  19
Aladdin's Lamp (RV),             1.03,  0.58,   1.03,   1.99,   0.48,  0.00,   4
Aladdin's Ring (4th),            0.64,  0.30,   0.64,   1.00,   0.25,  0.00,   5
Aladdin's Ring (5th),            0.49,  0.01,   0.49,   0.50,   0.48,  0.00,   2
Aladdin's Ring (6th),            0.38,  0.09,   0.38,   0.48,   0.29,  0.00,   2
Aladdin's Ring (7th),            0.66,  0.24,   0.66,   0.99,   0.48, -0.00,   3
Aladdin's Ring (8th),            0.74,  0.25,   0.74,   0.99,   0.48, -0.00,   2
Aladdin's Ring (9th),            0.37,  2.42,   1.81,   5.99,   0.01, -0.23,  15
Aladdin's Ring (RV),             0.68,  0.22,   0.68,   0.99,   0.48, -0.00,   3
Alarum,                          0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Albino Troll (UZ),               0.73,  0.39,   0.73,   1.50,   0.01, -0.00,   9
Alchor's Tomb,                   3.25,  0.18,   3.25,   3.38,   3.00,  0.00,   3
Aleatory,                        0.11,  0.13,   0.11,   0.29,   0.01,  0.00,   5
Alert Shu Infantry,              0.99,  0.00,   0.99,   0.99,   0.99,  0.00,   1
Alexi's Cloak,                   0.33,  0.08,   0.33,   0.41,   0.25, -0.00,   2
Alexi, Zephyr Mage,              0.70,  0.49,   0.70,   1.10,   0.01,  0.00,   3
Algae Gharial,                   0.34,  0.20,   0.34,   1.00,   0.25,  0.00,  14
Ali Baba (4th),                  2.37,  2.09,   2.37,   4.46,   0.28,  0.00,   2
Ali Baba (AN),                   1.63,  0.63,   1.63,   2.26,   1.00,  0.00,   2
Ali from Cairo,                 31.19, 16.36,  34.26,  69.99,  15.00,  0.00,  14
Aliban's Tower,                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
All Hallow's Eve,               19.09,  5.60,  19.12,  28.02,  11.50, -0.00,  11
All Suns' Dawn,                  0.80,  0.21,   0.80,   1.00,   0.50, -0.00,   4
Allay,                           0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Alley Grifters,                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Allied Strategies,               0.25,  0.00,   0.25,   0.26,   0.25,  0.00,   4
Allosaurus Rider,                0.76,  0.39,   0.76,   1.70,   0.25,  0.00,  12
Alloy Golem,                     0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Alluring Siren,                  0.32,  0.12,   0.32,   0.56,   0.25,  0.00,   5
Alms,                            0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Alpha Kavu,                      0.23,  0.03,   0.23,   0.26,   0.20, -0.00,   2
Alpha Myr,                       0.25,  0.01,   0.25,   0.26,   0.25,  0.00,   2
Alpha Status,                    0.85,  0.46,   0.85,   1.84,   0.01,  0.00,  18
Altar Golem,                     0.96,  0.63,   1.10,   2.99,   0.25,  0.00,  15
Altar of Bone,                   0.75,  0.25,   0.75,   1.00,   0.50,  0.00,   2
Altar of Dementia,               4.29,  1.92,   4.23,   6.75,   0.01,  0.17,  14
Altar of Shadows,                0.48,  0.27,   0.48,   0.99,   0.25, -0.08,   5
Altar's Light,                   0.28,  0.00,   0.28,   0.28,   0.28,  0.00,   1
Alter Reality,                   1.00,  0.00,   1.00,   1.00,   1.00,  0.00,   2
Aluren,                          3.32,  1.76,   3.48,   7.93,   0.99, -0.00,  40
Ambassador Laquatus (10th),      0.97,  0.65,   1.08,   2.50,   0.18,  0.00,  27
Ambassador Laquatus (TOR),       1.70,  0.00,   1.70,   1.70,   1.70,  0.00,   1
Ambassador Oak,                  0.27,  0.03,   0.27,   0.33,   0.25,  0.00,   4
Amber Prison (6th),              0.38,  0.41,   0.38,   1.00,   0.01, -0.00,   4
Amber Prison (MI),               0.67,  0.34,   0.67,   1.00,   0.33, -0.00,   2
Ambiguity,                       1.00,  0.00,   1.00,   1.00,   1.00,  0.00,   1
Ambition's Cost (8th),           0.52,  0.49,   0.52,   1.50,   0.25, -0.00,   5
Ambition's Cost (P3),            3.88,  0.00,   3.88,   3.88,   3.88,  0.00,   1
Ambush,                          0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Ambush Commander,                1.92,  1.14,   2.07,   4.99,   0.31,  0.00,  21
Ambush Party (5th),              0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Ambush Party (HL),               0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Amnesia,                         0.39,  0.14,   0.39,   0.62,   0.25, -0.00,   4
Amoeboid Changeling,             0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Amok,                            0.39,  0.08,   0.39,   0.50,   0.33, -0.00,   3
Amphibious Kavu,                 0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Amrou Kithkin (4th),             0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Amrou Kithkin (LE),              0.99,  0.00,   0.99,   0.99,   0.99,  0.00,   1
Amrou Scout,                     0.25,  0.01,   0.25,   0.26,   0.25,  0.00,   2
Amrou Seekers,                   0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Amugaba,                         0.62,  0.38,   0.62,   1.00,   0.25,  0.00,   2
Amulet of Kroog (4th),           0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Amulet of Kroog (5th),           0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Amulet of Kroog (AQ),            0.01,  0.00,   0.01,   0.01,   0.01,  0.00,   1
Amulet of Quoz,                  0.37,  0.34,   0.37,   1.00,   0.01, -0.00,   6
Amulet of Unmaking,              0.12,  0.15,   0.12,   0.33,   0.01, -0.00,   3
An-Havva Constable (5th),        0.41,  0.08,   0.41,   0.48,   0.33, -0.00,   2
An-Havva Constable (HL),         0.55,  0.00,   0.55,   0.55,   0.55,  0.00,   1
An-Havva Inn,                    0.28,  0.00,   0.28,   0.28,   0.28,  0.00,   1
An-Havva Township,               0.09,  0.11,   0.09,   0.25,   0.01,  0.00,   3
An-Zerrin Ruins,                 0.50,  0.00,   0.50,   0.50,   0.50,  0.00,   1
Ana Battlemage,                  0.29,  0.00,   0.29,   0.29,   0.29,  0.00,   1
Ana Disciple,                    0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Ana Sanctuary,                   0.39,  0.11,   0.39,   0.50,   0.28,  0.00,   2
Anaba Ancestor,                  1.08,  0.00,   1.08,   1.08,   1.08,  0.00,   1
Anaba Bodyguard (10th),          0.26,  0.00,   0.26,   0.26,   0.26,  0.00,   1
Anaba Bodyguard (6th),           0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Anaba Bodyguard (HL),            0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Anaba Shaman (6th),              0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Anaba Shaman (8th),              0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Anaba Shaman (9th),              0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Anaba Shaman (HL),               0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Anaba Spirit Crafter,            0.44,  0.05,   0.44,   0.50,   0.39,  0.00,   2
Anaconda (7th),                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Anaconda (9th),                  0.29,  0.06,   0.29,   0.38,   0.25,  0.00,   3
Anaconda (PT),                   1.99,  0.00,   1.99,   1.99,   1.99,  0.00,   1
Anarchist (9th),                 0.32,  0.06,   0.32,   0.38,   0.26,  0.00,   2
Anarchist (EX),                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   3
Anarchist (OD),                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Anarchy,                         0.41,  0.27,   0.41,   0.88,   0.25, -0.00,   4
Anathemancer,                    0.59,  0.44,   0.67,   1.75,   0.10,  0.00,  30
Anavolver,                       0.45,  1.84,   1.36,   4.99,   0.01, -0.00,   5
Ancestor's Chosen (10th),        0.29,  0.07,   0.29,   0.44,   0.25,  0.00,   5
Ancestor's Chosen (JUD),         0.28,  0.00,   0.28,   0.28,   0.28,  0.00,   1
Ancestor's Prophet,              0.73,  0.59,   1.00,   2.10,   0.50, -0.00,   5
Ancestral Knowledge,             0.98,  0.20,   0.98,   1.25,   0.62, -0.00,   7
Ancestral Mask,                  0.49,  0.07,   0.49,   0.58,   0.38, -0.00,   4
Ancestral Memories (6th),        0.38,  0.10,   0.38,   0.48,   0.28,  0.00,   2
Ancestral Memories (7th),        0.52,  0.29,   0.52,   0.99,   0.25, -0.09,   4
Ancestral Memories (MI),         0.33,  0.00,   0.33,   0.33,   0.33,  0.00,   1
Ancestral Recall (A),          770.00, 334.67, 766.58, 1174.75, 355.00,  0.00,   3
Ancestral Recall (B),          692.15, 194.96, 701.08, 1074.75, 389.99, -0.00,   9
Ancestral Recall (U),          453.73, 110.11, 450.19, 674.75, 305.00,  0.00,  15
Ancestral Tribute,               0.79,  0.43,   0.79,   1.50,   0.25, -0.00,   7
Ancestral Vision,                3.20,  1.23,   3.35,   7.00,   0.99,  0.04,  50
Ancient Amphitheater,            0.54,  0.43,   0.62,   2.00,   0.21, -0.01,  52
Ancient Craving (P2),            2.25,  0.00,   2.25,   2.25,   2.25,  0.00,   1
Ancient Craving (ST1),           2.00,  0.00,   2.00,   2.00,   2.00,  0.00,   1
Ancient Den,                     0.49,  0.33,   0.49,   1.33,   0.19, -0.00,  16
Ancient Grudge,                  0.28,  0.05,   0.28,   0.37,   0.25,  0.02,   4
Ancient Hydra,                   0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Ancient Kavu,                    0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   2
Ancient Ooze,                    0.93,  0.24,   0.93,   1.25,   0.49,  0.00,  10
Ancient Runes,                   0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Ancient Silverback (7th),        0.58,  0.31,   0.58,   1.00,   0.25, -0.00,   3
Ancient Silverback (9th),        0.63,  0.75,   0.87,   2.99,   0.25,  0.00,  10
Ancient Silverback (UD),         1.53,  1.31,   1.53,   3.33,   0.25, -0.00,   3
Ancient Spider,                  0.38,  0.10,   0.38,   0.50,   0.25,  0.00,   5
Ancient Spring,                  0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   3
Ancient Tomb,                    3.78,  2.51,   3.89,  11.99,   0.25,  0.05,  50
Ancient Ziggurat,                1.00,  0.34,   1.00,   1.66,   0.25, -0.00,  41
Andradite Leech,                 0.14,  0.13,   0.14,   0.27,   0.01,  0.00,   2
Angel Token,                     0.29,  0.42,   0.35,   1.99,   0.10, -0.00,  28
Angel of Despair,                3.92,  1.39,   3.78,   7.00,   0.75,  0.02,  46
Angel of Fury,                   3.18,  2.15,   4.38,   7.99,   2.50, -0.00,   4
Angel of Light,                  5.74,  3.64,   8.32,  13.46,   5.50,  0.01,   3
Angel of Mercy (10th),           0.31,  0.54,   0.49,   1.98,   0.15, -0.00,   9
Angel of Mercy (8th),            0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
Angel of Mercy (9th),            0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   4
Angel of Mercy (IN),             0.27,  0.00,   0.27,   0.27,   0.27,  0.00,   1
Angel of Retribution,            0.99,  0.44,   1.10,   2.20,   0.56, -0.00,  11
Angel of Salvation,              0.82,  0.41,   0.88,   2.12,   0.31, -0.00,  22
Angel's Feather (10th),          0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   3
Angel's Feather (9th),           0.25,  0.00,   0.25,   0.25,   0.25,  0.00,   1
